수집시각,구역,센서ID,CPU온도,전력,응답시간,메모리,상태
2026-08-28 19:00,Z1-알파,SN-A-04,61.48,122.59,78.4,23.26,정상
2026-08-28 19:00,Z2-브라보,SN-B-04,69.03,점검중,146.5,32.35,정상
2026-08-28 19:00,Z3-찰리,SN-C-04,79.47,215.31,210.7,39.3,경고
2026-08-28 20:00,Z1-알파,SN-A-01,59.98,129.73,93.2,21.51,정상
2026-08-28 20:00,Z2-브라보,SN-B-01,70.19,164.26,155.5,30.15,경고
2026-08-28 20:00,Z3-찰리,SN-C-01,79.04,212.1,205.0,39.16,정상
2026-08-28 21:00,Z1-알파,SN-A-02,59.0,121.47,84.7,22.76,정상
2026-08-28 21:00,Z2-브라보,SN-B-02,70.07,166.8,140.2,32.98,정상
2026-08-28 21:00,Z3-찰리,SN-C-02,78.52,209.2,203.7,38.95,정상
2026-08-28 22:00,Z1-알파,SN-A-03,59.55,121.21,88.0,23.76,정상
2026-08-28 22:00,Z2-브라보,SN-B-03,70.59,179.55,134.6,31.98,정상
2026-08-28 22:00,Z3-찰리,SN-C-03,81.0,209.43,204.6,39.35,정상
2026-08-28 23:00,Z1-알파,SN-A-04,61.07,133.15,85.5,21.1,정상
2026-08-28 23:00,Z2-브라보,SN-B-04,69.6,168.38,146.6,31.65,정상
2026-08-28 23:00,Z3-찰리,SN-C-04,78.79,220.06,203.5,41.6,정상
2026-08-29 00:00,Z1-알파,SN-A-01,59.12,127.32,92.6,24.09,정상
2026-08-29 00:00,Z2-브라보,SN-B-01,67.71,159.31,143.0,29.23,정상
2026-08-29 00:00,Z3-찰리,SN-C-01,77.68,210.97,188.2,40.13,정상
2026-08-29 01:00,Z1-알파,SN-A-02,59.86,125.26,90.8,23.49,정상
2026-08-29 01:00,Z2-브라보,SN-B-02,68.68,174.06,143.9,33.99,정상
2026-08-29 01:00,Z3-찰리,SN-C-02,80.49,221.83,192.0,39.85,정상
2026-08-29 02:00,Z1-알파,SN-A-03,61.38,132.13,81.6,22.72,정상
2026-08-29 02:00,Z2-브라보,SN-B-03,70.44,166.89,148.8,33.18,정상
2026-08-29 02:00,Z3-찰리,SN-C-03,79.49,217.23,216.0,38.84,경고
2026-08-29 03:00,Z1-알파,SN-A-04,58.62,126.24,91.4,22.8,정상
2026-08-29 03:00,Z2-브라보,SN-B-04,69.35,159.34,145.2,29.67,정상
2026-08-29 03:00,Z3-찰리,SN-C-04,79.81,206.15,203.0,39.84,정상
