검사일시,생산라인,라인코드,온도,진동,회전수,압력,판정
2026-08-25 22:00,B라인,1,86.41,4.09,1605.05,5.43,주의
2026-08-26 12:00,A라인,0,73.14,3.12,1451.15,3.96,정상
2026-08-25 02:00,B라인,1,85.38,4.31,1609.1,5.48,정상
2026-08-25 19:00,C라인,2,95.94,5.39,1750.74,6.76,주의
2026-08-24 08:00,A라인,0,87.6,3.03,1446.18,3.81,이상
2026-08-25 07:00,A라인,0,71.02,2.87,1457.77,3.91,주의
2026-08-25 21:00,C라인,2,95.8,5.57,1754.22,6.86,주의
2026-08-25 03:00,A라인,0,71.09,2.9,1449.06,3.79,주의
2026-08-26 01:00,C라인,2,94.91,5.42,1755.13,6.86,정상
2026-08-25 11:00,C라인,2,95.81,5.43,1748.03,6.95,주의
2026-08-26 04:00,B라인,1,85.42,4.22,1610.16,5.57,정상
2026-08-26 07:00,C라인,2,95.02,5.48,1761.2,6.72,정상
2026-08-25 10:00,B라인,1,84.23,4.1,1589.22,5.7,정상
2026-08-25 17:00,B라인,1,84.21,4.15,1610.56,5.43,정상
2026-08-24 14:00,A라인,0,71.41,2.98,1450.81,4.21,주의
2026-08-24 15:00,B라인,1,84.07,4.26,1588.58,5.66,정상
2026-08-25 12:00,B라인,1,84.66,4.34,1590.59,5.54,정상
2026-08-26 03:00,C라인,2,96.18,5.48,1756.07,6.59,주의
2026-08-26 01:00,A라인,0,72.44,2.94,1443.88,3.82,정상
2026-08-25 04:00,C라인,2,73.5,5.44,1745.2,6.66,이상
2026-08-26 06:00,C라인,2,94.4,5.29,1758.74,6.89,정상
2026-08-26 05:00,B라인,1,85.15,4.22,1589.51,5.45,정상
2026-08-25 17:00,A라인,0,72.46,3.1,1447.27,4.07,정상
2026-08-25 18:00,C라인,2,95.12,5.43,1751.48,7.02,정상
2026-08-26 11:00,B라인,1,83.95,4.12,1595.52,5.53,정상
2026-08-26 03:00,A라인,0,72.1,2.91,1440.24,4.21,정상
2026-08-24 06:00,A라인,0,70.72,3.0,1447.13,3.89,주의
2026-08-26 00:00,A라인,0,73.14,3.06,1453.05,4.17,정상
2026-08-24 13:00,A라인,0,84.39789772727272,3.02,1451.87,3.95,정상
2026-08-25 03:00,B라인,1,86.2,4.34,1588.38,5.34,주의
2026-08-25 05:00,C라인,2,94.87,5.54,1758.85,6.89,정상
2026-08-25 09:00,C라인,2,93.47,5.32,1754.35,6.7,정상
2026-08-24 16:00,B라인,1,84.0,4.17,1589.38,5.46,정상
2026-08-26 12:00,C라인,2,95.09,5.55,1760.99,6.69,정상
2026-08-26 08:00,C라인,2,95.29,4.196983240223464,1749.89,6.87,정상
2026-08-26 17:00,C라인,2,96.42,5.34,1753.11,6.68,주의
2026-08-24 20:00,C라인,2,93.84,5.43,1753.04,6.96,정상
2026-08-24 16:00,A라인,0,73.1,2.85,1441.27,4.07,정상
2026-08-26 04:00,C라인,2,95.66,5.24,1755.61,6.63,정상
2026-08-26 14:00,B라인,1,84.46,4.36,1591.68,5.32,정상
2026-08-25 15:00,B라인,1,86.29,4.21,1609.88,5.48,주의
2026-08-26 06:00,A라인,0,73.46,2.96,1457.85,3.99,정상
2026-08-26 03:00,B라인,1,83.57,4.14,1593.91,5.55,주의
2026-08-25 23:00,B라인,1,83.95,4.25,1601.44,5.28,정상
2026-08-24 12:00,B라인,1,84.58,4.09,1608.71,5.72,정상
2026-08-25 23:00,A라인,0,72.07,3.05,1460.16,4.13,주의
2026-08-25 16:00,C라인,2,93.84,5.38,1744.38,6.85,정상
2026-08-24 17:00,A라인,0,94.8,2.98,1441.15,4.07,이상
2026-08-25 01:00,B라인,1,86.24,4.19,1605.44,5.41,주의
2026-08-24 22:00,B라인,1,84.14,4.11,1594.99,5.4,정상
2026-08-25 16:00,B라인,1,83.49,4.22,1611.9,5.63,주의
2026-08-24 22:00,C라인,2,93.9,5.56,1750.33,6.75,정상
2026-08-25 05:00,B라인,1,85.02,4.17,1611.41,5.63,정상
2026-08-26 07:00,B라인,1,86.49,4.08,1611.25,5.53,주의
2026-08-26 15:00,A라인,0,70.46,3.03,1443.68,3.99,주의
2026-08-24 22:00,A라인,0,71.15,3.06,1446.98,5.48,주의
2026-08-25 18:00,B라인,1,84.26,4.24,1598.82,5.36,정상
2026-08-25 07:00,B라인,1,83.51,4.17,1589.17,5.39,주의
2026-08-24 07:00,C라인,2,95.1,5.31,1741.74,6.63,정상
2026-08-25 08:00,B라인,1,86.54,4.2,1601.12,5.33,주의
2026-08-26 10:00,C라인,2,95.37,5.29,1754.23,5.48,정상
2026-08-25 15:00,A라인,0,71.38,3.14,1456.5,4.04,주의
2026-08-25 09:00,B라인,1,83.84,4.196983240223464,1609.29,5.43,정상
2026-08-25 00:00,C라인,2,94.34,5.5,1761.84,6.76,정상
2026-08-26 00:00,B라인,1,84.19,4.32,1607.53,5.55,정상
2026-08-25 02:00,C라인,2,93.58,5.51,1752.55,6.69,정상
2026-08-24 10:00,B라인,1,86.04,4.11,1602.76,5.44,정상
2026-08-24 09:00,C라인,2,96.44,5.51,1739.84,6.75,주의
2026-08-25 18:00,A라인,0,72.73,3.15,1438.02,4.03,정상
2026-08-25 04:00,B라인,1,83.6,4.14,1599.71,5.71,주의
2026-08-25 14:00,A라인,0,73.4,3.02,1444.21,4.17,정상
2026-08-26 11:00,C라인,2,94.52,5.41,1746.36,6.7,정상
2026-08-24 17:00,B라인,1,83.94,4.37,1601.53,5.65,정상
2026-08-25 11:00,A라인,0,73.4,2.94,1458.03,3.93,정상
2026-08-24 21:00,B라인,1,84.46,4.16,1606.01,5.4,정상
2026-08-24 20:00,A라인,0,70.88,3.1,1460.58,4.02,주의
2026-08-26 10:00,B라인,1,83.93,4.17,1593.26,5.44,정상
2026-08-25 22:00,C라인,2,93.78,5.22,1760.04,6.91,정상
2026-08-26 02:00,C라인,2,93.48,5.37,1757.02,6.89,정상
2026-08-26 08:00,A라인,0,91.5,3.09,1460.3,4.16,이상
2026-08-26 08:00,B라인,1,84.84,4.16,1602.77,5.37,정상
2026-08-24 07:00,B라인,1,83.74,4.37,1605.41,5.52,정상
2026-08-25 20:00,B라인,1,83.54,4.04,1601.3,5.55,주의
2026-08-26 04:00,A라인,0,70.98,3.01,1446.94,4.1,주의
2026-08-26 12:00,B라인,1,85.41,4.1,1603.67,5.63,정상
2026-08-26 13:00,B라인,1,84.39789772727272,4.33,1600.67,5.5,정상
2026-08-26 06:00,B라인,1,85.98,4.38,1607.76,5.51,정상
2026-08-25 16:00,A라인,0,72.1,3.02,1439.9,4.03,정상
2026-08-24 07:00,A라인,0,72.72,3.02,1456.52,4.08,정상
2026-08-24 18:00,B라인,1,84.39789772727272,4.07,1608.02,5.69,정상
2026-08-25 08:00,C라인,2,95.81,5.26,1742.48,6.76,주의
2026-08-25 15:00,C라인,2,93.6,5.36,1751.33,6.96,정상
2026-08-25 06:00,A라인,0,72.29,3.13,1446.67,4.01,정상
2026-08-24 11:00,A라인,0,71.22,2.94,1447.04,4.19,주의
2026-08-24 18:00,C라인,2,94.94,5.55,1740.18,6.78,정상
2026-08-25 06:00,C라인,2,96.41,5.5,1746.09,6.84,주의
2026-08-24 20:00,B라인,1,86.05,4.11,1607.76,5.63,주의
2026-08-26 09:00,C라인,2,93.72,5.36,1748.49,6.93,정상
2026-08-26 10:00,A라인,0,70.91,3.17,1446.2,3.88,주의
2026-08-25 21:00,B라인,1,85.57,4.08,1592.44,5.31,정상
2026-08-26 13:00,C라인,2,93.46,5.3,1742.6,6.9,정상
2026-08-26 15:00,C라인,2,96.45,5.33,1749.99,6.68,주의
2026-08-24 09:00,B라인,1,86.03,4.08,1598.76,5.6,정상
2026-08-26 16:00,A라인,0,71.54,2.93,1451.46,4.13,주의
2026-08-25 03:00,C라인,2,93.85,5.24,1759.42,6.64,정상
2026-08-26 02:00,B라인,1,84.64,4.3,1603.62,5.59,정상
2026-08-26 07:00,A라인,0,72.25,2.86,1453.12,3.93,정상
2026-08-24 23:00,C라인,2,95.54,5.38,1753.84,6.92,정상
2026-08-26 17:00,B라인,1,86.26,4.17,1594.74,5.63,주의
2026-08-25 01:00,A라인,0,70.51,3.06,1448.58,4.01,주의
2026-08-24 15:00,C라인,2,95.92,5.55,1754.11,7.01,주의
2026-08-25 00:00,A라인,0,73.31,3.13,1449.99,3.83,정상
2026-08-24 18:00,A라인,0,72.06,2.84,1460.27,4.04,주의
2026-08-24 06:00,C라인,2,94.44,5.45,1758.09,6.99,정상
2026-08-24 10:00,C라인,2,93.52,5.23,1741.51,6.86,정상
2026-08-24 08:00,B라인,1,84.61,4.31,1596.48,5.38,정상
2026-08-24 14:00,C라인,2,95.52,5.39,1757.09,7.01,정상
2026-08-25 13:00,B라인,1,85.18,4.36,1591.6,5.42,정상
2026-08-26 15:00,B라인,1,85.31,4.08,1603.12,5.5,정상
2026-08-25 22:00,A라인,0,71.11,2.9,1458.23,3.82,주의
2026-08-26 17:00,A라인,0,71.05,3.1,1456.35,3.85,주의
2026-08-25 04:00,A라인,0,71.33,2.85,1443.59,4.06,주의
2026-08-24 11:00,B라인,1,85.79,4.14,1605.9,5.38,정상
2026-08-25 12:00,C라인,2,94.17,5.53,1742.54,7.95,정상
2026-08-26 14:00,A라인,0,71.65,2.84,1454.52,3.96,주의
2026-08-25 15:00,B라인,1,86.32,4.21,1609.88,5.46,주의
2026-08-25 14:00,B라인,1,84.71,4.06,1601.38,5.61,정상
2026-08-24 12:00,C라인,2,95.17,5.44,1745.07,6.72,정상
