수집시각,구역,구역코드,CPU온도,전력,응답시간,메모리,상태
2026-08-24 22:00,Z3-찰리,2,78.54,206.08,197.3,37.53,정상
2026-08-24 23:00,Z1-알파,0,57.55,127.14,94.2,21.27,경고
2026-08-24 23:00,Z2-브라보,1,68.15,155.81,136.1,29.57,정상
2026-08-24 23:00,Z3-찰리,2,79.15,205.4,197.4,41.84,정상
2026-08-25 00:00,Z1-알파,0,57.82,125.03,76.5,21.37,정상
2026-08-25 00:00,Z2-브라보,1,68.91,162.84,146.1,30.0,경고
2026-08-25 00:00,Z3-찰리,2,78.32,212.05,198.4,39.67,정상
2026-08-25 01:00,Z1-알파,0,68.37511363636364,125.33,80.8,22.41,정상
2026-08-25 01:00,Z2-브라보,1,67.95,163.99,141.4,29.98,정상
2026-08-25 01:00,Z3-찰리,2,76.68,202.29,190.8,37.05,정상
2026-08-25 02:00,Z1-알파,0,58.18,122.39,79.0,19.58,정상
2026-08-25 02:00,Z2-브라보,1,67.98,162.67,145.5,32.39,경고
2026-08-25 02:00,Z3-찰리,2,76.39,212.83,195.8,38.4,정상
2026-08-25 03:00,Z1-알파,0,58.74,112.06,94.4,21.98,경고
2026-08-25 03:00,Z2-브라보,1,67.72,169.37,131.5,33.09,정상
2026-08-25 03:00,Z3-찰리,2,62.5,210.68,189.2,37.87,정상
2026-08-25 04:00,Z1-알파,0,57.45,125.07,90.8,19.61,경고
2026-08-25 04:00,Z2-브라보,1,67.37,165.89,140.3,29.03,정상
2026-08-25 04:00,Z3-찰리,2,78.94,201.72,199.2,38.72,정상
2026-08-25 05:00,Z1-알파,0,56.96,117.65,72.2,22.98,정상
2026-08-25 05:00,Z2-브라보,1,68.31,168.26,135.7,32.61,정상
2026-08-25 06:00,Z1-알파,0,56.11,116.15,78.7,21.42,정상
2026-08-25 06:00,Z2-브라보,1,66.23,169.69,143.2,27.95,정상
2026-08-25 06:00,Z3-찰리,2,78.01,215.95,209.7,39.26,경고
2026-08-25 07:00,Z1-알파,0,73.0,128.38,91.8,23.73,경고
2026-08-25 07:00,Z2-브라보,1,68.31,166.09,139.9,29.59,정상
2026-08-25 07:00,Z3-찰리,2,77.94,215.9,199.1,38.85,정상
2026-08-25 08:00,Z1-알파,0,57.72,119.07,90.4,20.46,경고
2026-08-25 08:00,Z2-브라보,1,68.21,172.02,136.4,30.35,정상
2026-08-25 08:00,Z3-찰리,2,79.26,200.94,197.6,39.65,정상
2026-08-25 09:00,Z1-알파,0,57.59,116.5,81.3,22.09,정상
2026-08-25 09:00,Z2-브라보,1,67.94,166.68,151.2,29.71,경고
2026-08-25 09:00,Z3-찰리,2,77.78,210.76,187.4,38.5,정상
2026-08-25 10:00,Z1-알파,0,58.39,109.5,90.3,22.16,경고
2026-08-25 10:00,Z2-브라보,1,68.41,164.38206703910615,141.1,28.78,정상
2026-08-25 10:00,Z3-찰리,2,79.53,212.7,208.7,37.35,경고
2026-08-25 11:00,Z1-알파,0,56.98,111.37,83.3,21.69,정상
2026-08-25 11:00,Z2-브라보,1,68.37511363636364,159.66,148.2,28.25,경고
2026-08-25 11:00,Z3-찰리,2,78.3,213.34,199.7,38.77,경고
2026-08-25 12:00,Z1-알파,0,57.53,120.34,89.8,23.27,경고
2026-08-25 12:00,Z2-브라보,1,68.15,173.74,143.1,26.94,정상
2026-08-25 12:00,Z3-찰리,2,77.71,203.78,202.4,40.53,경고
2026-08-25 13:00,Z1-알파,0,59.02,121.97,91.1,12.0,장애
2026-08-25 13:00,Z2-브라보,1,66.58,170.98,136.6,31.94,정상
2026-08-25 13:00,Z3-찰리,2,77.59,202.11,200.0,37.62,경고
2026-08-25 14:00,Z1-알파,0,56.93,122.99,78.4,22.24,정상
2026-08-25 14:00,Z2-브라보,1,66.85,163.84,142.1,32.96,정상
2026-08-25 14:00,Z3-찰리,2,78.61,210.06,200.6,39.36,경고
2026-08-25 15:00,Z1-알파,0,68.37511363636364,116.0,82.2,21.63,정상
2026-08-25 15:00,Z2-브라보,1,67.14,165.53,138.5,29.39,정상
2026-08-25 15:00,Z3-찰리,2,78.78,210.25,205.8,40.14,경고
2026-08-25 16:00,Z1-알파,0,59.29,117.29,79.3,20.82,정상
2026-08-25 16:00,Z2-브라보,1,66.6,161.48,124.8,32.26,정상
2026-08-25 16:00,Z3-찰리,2,76.92,209.14,194.8,38.65,정상
2026-08-25 17:00,Z1-알파,0,60.08,123.84,77.7,24.08,정상
2026-08-25 17:00,Z2-브라보,1,66.62,161.38,147.0,32.29,경고
2026-08-25 17:00,Z3-찰리,2,79.55,206.33,198.4,41.07,정상
2026-08-25 18:00,Z1-알파,0,58.63,113.44,95.1,21.67,경고
2026-08-25 18:00,Z2-브라보,1,66.6,158.98,151.9,32.23,경고
2026-08-25 19:00,Z1-알파,0,56.6,109.2,75.1,21.16,정상
2026-08-25 19:00,Z2-브라보,1,69.24,160.49,154.3,32.5,경고
2026-08-25 19:00,Z3-찰리,2,78.23,213.47,195.8,38.94,정상
2026-08-25 20:00,Z1-알파,0,57.96,120.7,83.6,23.52,정상
2026-08-25 20:00,Z2-브라보,1,69.24,162.63,136.5,30.65,정상
2026-08-25 20:00,Z3-찰리,2,79.71,203.05,202.9,37.25,경고
2026-08-25 21:00,Z1-알파,0,58.06,122.32,84.5,21.45,정상
2026-08-25 21:00,Z2-브라보,1,67.07,167.9,148.2,33.18,경고
2026-08-25 21:00,Z3-찰리,2,76.17,203.22,206.9,38.88,경고
2026-08-25 22:00,Z1-알파,0,73.0,111.38,73.4,21.68,정상
2026-08-25 22:00,Z2-브라보,1,68.31,157.53,128.9,29.75,정상
2026-08-25 22:00,Z2-브라보,1,68.34,157.53,128.9,29.78,정상
2026-08-25 22:00,Z3-찰리,2,77.88,202.32,201.8,39.0,경고
2026-08-25 23:00,Z1-알파,0,57.91,131.42,85.7,20.7,정상
2026-08-25 23:00,Z2-브라보,1,68.13,164.2,149.4,31.06,경고
2026-08-25 23:00,Z3-찰리,2,78.0,207.75,206.1,40.02,경고
2026-08-26 00:00,Z1-알파,0,58.89,117.14,86.7,23.03,정상
2026-08-26 00:00,Z2-브라보,1,69.71,161.42,140.4,29.78,정상
2026-08-26 00:00,Z3-찰리,2,79.42,217.47,199.0,29.78,정상
2026-08-26 01:00,Z1-알파,0,57.36,116.06,85.9,22.94,정상
2026-08-26 01:00,Z2-브라보,1,66.27,162.85,150.9,31.56,경고
2026-08-26 01:00,Z3-찰리,2,78.32,215.19,187.5,40.77,정상
2026-08-26 02:00,Z1-알파,0,56.03,128.2,83.1,20.39,정상
2026-08-26 02:00,Z2-브라보,1,67.92,175.07,145.8,27.36,경고
2026-08-26 02:00,Z3-찰리,2,78.09,207.08,197.7,40.72,정상
2026-08-26 03:00,Z1-알파,0,56.99,116.77,94.3,20.19,경고
2026-08-26 03:00,Z2-브라보,1,67.17,158.64,134.0,27.01,정상
2026-08-26 03:00,Z3-찰리,2,76.9,206.78,192.3,40.08,정상
2026-08-26 04:00,Z1-알파,0,58.82,116.18,87.4,22.56,정상
2026-08-26 04:00,Z2-브라보,1,67.77,166.23,137.9,29.78,정상
2026-08-26 04:00,Z3-찰리,2,78.83,216.61,186.7,56.0,장애
2026-08-26 05:00,Z1-알파,0,68.37511363636364,112.54,79.7,22.87,정상
2026-08-26 05:00,Z2-브라보,1,67.69,169.48,136.8,31.93,정상
2026-08-26 05:00,Z3-찰리,2,78.4,203.55,180.0,37.45,정상
2026-08-26 06:00,Z1-알파,0,58.22,123.91,100.0,21.15,경고
2026-08-26 06:00,Z2-브라보,1,66.93,160.08,144.8,29.8,정상
2026-08-26 06:00,Z3-찰리,2,77.47,214.48,201.9,38.06,경고
2026-08-26 07:00,Z1-알파,0,57.29,115.96,95.3,22.66,경고
2026-08-26 07:00,Z2-브라보,1,68.67,164.57,149.3,27.72,경고
2026-08-26 07:00,Z3-찰리,2,79.19,210.89,199.1,37.76,정상
2026-08-26 08:00,Z1-알파,0,59.07,125.79,80.2,23.82,정상
2026-08-26 08:00,Z2-브라보,1,68.84,168.75,127.1,31.29,정상
2026-08-26 08:00,Z3-찰리,2,78.42,164.38206703910615,191.5,37.6,정상
2026-08-26 09:00,Z1-알파,0,73.0,117.71,77.8,20.78,정상
2026-08-26 09:00,Z2-브라보,1,66.14,168.26,134.5,30.55,정상
2026-08-26 09:00,Z3-찰리,2,76.9,213.75,193.0,40.1,정상
2026-08-26 10:00,Z1-알파,0,58.6,115.01,90.6,23.26,경고
2026-08-26 10:00,Z2-브라보,1,69.23,159.21,143.5,28.5,정상
2026-08-26 10:00,Z3-찰리,2,77.1,201.64,188.9,37.57,정상
2026-08-26 11:00,Z1-알파,0,57.32,128.23,97.8,20.62,경고
2026-08-26 11:00,Z2-브라보,1,69.13,168.4,135.2,30.78,정상
2026-08-26 11:00,Z3-찰리,2,75.96,207.06,181.1,36.45,정상
2026-08-26 12:00,Z1-알파,0,57.5,125.75,85.4,22.53,정상
2026-08-26 12:00,Z2-브라보,1,67.5,157.14,138.5,32.9,정상
2026-08-26 12:00,Z3-찰리,2,68.37511363636364,198.09,203.1,41.82,경고
2026-08-26 13:00,Z1-알파,0,59.28,116.09,83.2,21.74,정상
2026-08-26 13:00,Z2-브라보,1,68.43,160.87,139.5,27.82,정상
2026-08-26 13:00,Z3-찰리,2,76.49,218.01,193.0,39.8,정상
2026-08-26 14:00,Z1-알파,0,57.07,117.24,83.4,22.55,정상
2026-08-26 14:00,Z2-브라보,1,69.37,160.16,141.6,26.92,정상
2026-08-26 14:00,Z3-찰리,2,78.68,211.44,204.4,39.34,경고
2026-08-26 15:00,Z1-알파,0,58.87,124.56,82.9,29.78,정상
2026-08-26 15:00,Z2-브라보,1,67.81,160.84,144.3,28.17,정상
2026-08-26 15:00,Z3-찰리,2,77.46,206.22,189.4,37.38,정상
2026-08-26 16:00,Z1-알파,0,57.09,115.33,83.6,20.41,정상
2026-08-26 16:00,Z2-브라보,1,67.52,155.2,139.5,28.8,정상
2026-08-26 16:00,Z3-찰리,2,77.24,219.53,182.0,39.11,정상
2026-08-26 17:00,Z1-알파,0,58.93,115.77,76.4,19.55,정상
2026-08-26 17:00,Z2-브라보,1,69.44,166.33,143.5,30.68,정상
2026-08-26 17:00,Z3-찰리,2,78.73,211.26,199.6,40.52,정상
2026-08-26 18:00,Z1-알파,0,58.53,113.09,84.3,22.6,정상
2026-08-26 18:00,Z2-브라보,1,67.64,170.74,130.7,30.98,정상
2026-08-26 18:00,Z3-찰리,2,78.36,214.67,199.8,38.11,경고
2026-08-26 19:00,Z1-알파,0,58.29,120.79,81.7,24.23,정상
2026-08-26 19:00,Z2-브라보,1,67.5,169.05,136.8,28.48,정상
2026-08-26 19:00,Z3-찰리,2,79.2,199.35,187.8,39.01,정상
